Excavation Siglum;Excavation Numbers;Clemens 2001;Clemens 2001 type;Description;Genre;Object Type;Museum Number;Archive/General area;detail in general;Full TEO Findspot;Topographic Point;Find Depth;Associated Text;Script;Language;Size;KTU3;possible relevant (religious) genres;seal;note
RS;['17.409[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [A];Alphabetic;Ugaritic;29 x 27 x 23;;;;
RS;['[Varia24]'];;;Tablet;;Tablet;;;;;;;;;;;;;;
RS;['25.130'];PRAVDA;Literary;"Tablet, Logosyllabic Akkadian; Sumerian";;Tablet;DO 6689;Lamaštu;;Sud Acropole, Maison aux Textes Magiques, p.t. 5148 ? 0,55;5148;0,55;RS 25.130;Logosyllabic;"Akkadian; Sumerian";98 x 87 x 30;;wisdom;;
RS;['25.424'];PRAVDA;Literary;Tablet, Logosyllabic Akkadian;;Tablet;DO 6713;Lamaštu;;Sud Acropole, M. aux Textes Magiques, pr?s p.t. 5178 ? 1,50;5178;1,5;RS 25.424;Logosyllabic;"Akkadian; Sumerian";52 x 70 x 27;;wisdom;;
RS;['25.527A', '25.421', '25.527B'];PRAVDA;Literary;"Tablet, Logosyllabic Akkadian; Hittite; Sumerian";;Tablet;DO 6710;Lamaštu;;Sud Acropole, Maison aux Textes Magiques, p.t. 5142 ? 0,60;5142;0,6;RS 25.421+;Logosyllabic;"Akkadian; Hittite; Sumerian";160 x 190 x 36;;wisdom;;
RS;['17.409[B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [B];Alphabetic;Ugaritic;30 x 26 x 18;;;;
RS;['17.409[C]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [C];Alphabetic;Ugaritic;28 x 29 x 16;;;;
RS;['34.180,8'];PRAVDA;Literary?;Tablet, Logosyllabic Akkadian;;Tablet;M 853;House of Urtenu;;Tas de déblais;;;RS 34.180,8;Logosyllabic;Akkadian;64 x 57 x 22;;wisdom;;
RS;['86.2210[A]'];PRAVDA;Literary;Tablet, Logosyllabic Akkadian;;Tablet;DO 7752;House of Urtenu;;Quartier Sud Centre, D7/l4, Berme ouest;;;RS 86.2210 [A];Logosyllabic;"Akkadian; Sumerian";64 x 57 x 22;;wisdom;;
RS;['17.409[D]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [D];Alphabetic;Ugaritic;24 x 16 x 23;;;;
RS;['17.409[E]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [E];Alphabetic;Ugaritic;29 x 27 x 23;;;;
RS;['17.409[F]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [F];Alphabetic;Ugaritic;14 x 28 x 8;;;;
RS;['94.2544', '94.2548'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8027;House of Urtenu;;Quartier Sud Centre;;;RS 94.2544+;Logosyllabic;Akkadian;125 x 185 x 35;;wisdom;;
RS;['94.5029', '94.5028'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8103;House of Urtenu;;Quartier Sud Centre;;;RS 94.5028+;Logosyllabic;Akkadian;;;wisdom;;
RS;['14.242'];PRAVDA;Votive;Tablet, Logosyllabic Akkadian;;Tablet;DO 3739;Lower City;;Ville Basse Ouest, p.t. 109 ? 1,20;109;1,2;RS 14.242;Logosyllabic;Sumerian;20 x 24 x 10;;votive;;
RS;['4.458'];PRAVDA;inscription on statue;Tablet, Logosyllabic Akkadian;;Tablet;AO 25.162;Temple of Baal;;Acropole Cour du Temple de Baal «Tr. T. 2, p.t. 7 ? 1,20»;7;1,2;RS 4.458;Logosyllabic;Akkadian;80 x 75 x 8;;statue;;
RS;['5.303bis'];;;Tablet, Alphabetic Akkadian;;Tablet;M3421 = A2806;;;unknown;;;RS 5.303bis;Alphabetic;"Akkadian; Ugaritic";102 x 68 x 33;1.73;religious/incantation;;
RS;['92.2011'];;;Tablet, Logosyllabic Hittite;;Tablet;DO 7802;House of Urtenu;;Quartier Sud Centre;;;RS 92.2011;Logosyllabic;Hittite;(hittite) 66 x 32 x 34;;ritual;;
RS;['17.409[G]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [G];Alphabetic;Ugaritic;18 x 12 x 19;;;;
RS;['17.409[H]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [H];Alphabetic;Ugaritic;18 x 19 x 21;;;;
RS;['17.409[I]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [I];Alphabetic;Ugaritic;15 x 16 x 19;;;;
RS;['92.6278'];;;Tablet, Logosyllabic Hittite;;Tablet;DO 7816;House of Urtenu;;Quartier Sud Centre;;;RS 92.6278;Logosyllabic;Hittite;(hittite) 60 x 39 x 13;;ritual;;
RS;['26.143'];PRAVDA;Religious?;Tablet, Logosyllabic Akkadian;;Tablet;DO 6779;South Acropolis;;Sud Acropole, au S de la M. aux Textes Magiques, p.t. 4294 ? 0,55;4294;0,55;RS 26.143;Logosyllabic;"Akkadian; Sumerian";57 x 44 x 25;;religious?;;
RS;['26.159'];PRAVDA;Religious?;Tablet, Logosyllabic Akkadian;;Tablet;DO 6790;South Acropolis;;Sud Acropole, au S de la M. aux Textes Magiques, p.t. 4342 ? 1,40;4342;1,4;RS 26.159;Logosyllabic;Akkadian;30 x 32 x 18;;religious?;;
RS;['79.025A', '79.025B'];PRAVDA;Literary;Tablet, Logosyllabic Sumerian;;Tablet;M8587 + 8588;City Centre;;Centre Ville, Maison A, room 1040, A2/c1;;;RS 79.025A+;Logosyllabic;Sumerian;145 x 80 x 30;;prayer/benediction;;benediction on a king
RS;['25.427'];PRAVDA;Incantation?;Tablet, Logosyllabic Akkadian;;Tablet;DO 6716;Lamaštu;;Sud Acropole, Maison aux Textes Magiques, p.t. 5188 ? 1,10;5188;1,1;RS 25.427;Logosyllabic;Akkadian;58 x 73 x 30;;prayer;;
RS;['17.409[J]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [J];Alphabetic;Ugaritic;13 x 14 x 8;;;;
RS;['1.[049A]'];;;Tablet, Alphabetic Hurrian;;Tablet;M3441 = A7290;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[049A];Alphabetic;Hurrian;20 x 20 x 11;1.59;religious;;
RS;['1.[049B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3441 = A7290;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[049B];Alphabetic;Ugaritic;17 x 18 x 6;;;;
RS;['1.[051]', '1.[051]1929.299.1'];PRAVDA;;Axehead, Alphabetic Ugaritic;;Axehead;AO 11.610;House of the High Priest;;Acropole, M. du Grand Ptetre «trésor de bronze» (= p.t. 299);299;;RS 1.[051];Alphabetic;Ugaritic;diam. = 52 long. = 230 largeur du tranchant = 65;6.6;depot;;
RS;['1.[052]1929.299.2', '1.[052]'];PRAVDA;;Axehead, Alphabetic Ugaritic;;Axehead;AO 11.611;House of the High Priest;;Acropole, M. du Grand Ptetre «trésor de bronze» (= p.t. 299);299;;RS 1.[052];Alphabetic;Ugaritic;diam. = 52 long. = 230 largeur du tranchant = 64;6.10;depot;;
RS;['1.[053]', '1.[053]1929.299.3'];PRAVDA;;Axehead, Alphabetic Ugaritic;;Axehead;AO 11.612;House of the High Priest;;Acropole, M. du Grand Ptetre «trésor de bronze» (= p.t. 299);299;;RS 1.[053];Alphabetic;Ugaritic;diam. = 51 long. = 230 largeur du tranchant = 63;6.7;depot;;
RS;['1.[054]1929.299.4', '1.[054]'];PRAVDA;;Axehead, Alphabetic Ugaritic;;Axehead;M8432 = A4157;House of the High Priest;;Acropole, M. du Grand Ptetre «trésor de bronze» (= p.t. 299);299;;RS 1.[054];Alphabetic;Ugaritic;diam. = 47 long. = 235 largeur du tranchant = 63;6.8;depot;;
RS;['1.[055]', '1.[055]1929.299.5'];PRAVDA;;Axehead, Alphabetic Ugaritic;;Axehead;AO 11.615;House of the High Priest;;Acropole, M. du Grand Ptetre «trésor de bronze» (= p.t. 299);299;;RS 1.[055];Alphabetic;Ugaritic;diam. = 59 long. = 230 largeur du tranchant = 68;6.9;depot;;
RS;['79.025C'];;;Tablet, Logosyllabic Akkadian;;Tablet;M8589;City Centre;;Centre Ville, Maison A, room 1040, A2/c1;;;RS 79.025C;Logosyllabic;Akkadian;23 x 24 x 13;;prayer;;
RS;['22.421'];PRAVDA;Literary;Tablet, Logosyllabic Akkadian;;Tablet;DO 5845;House of the Literary Tablets;;Ville Sud, Maison aux Textes Littéraires, p.t. 2597 ? 1,80;2597;1,8;RS 22.421;Logosyllabic;Akkadian;65 x 60 x 25;;myth;;Atrahasis
RS;['94.2953'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8085;House of Urtenu;;Quartier Sud Centre;;;RS 94.2953;Logosyllabic;Akkadian;63 x 50 x 19;;myth;;
RS;['80.389'];PRAVDA;Literary?;Tablet, Logosyllabic Akkadian;;Tablet;;City Centre;;Centre Ville, Maison A, room 1040, A2/c1;;;RS 80.389;Logosyllabic;Akkadian;43 x 51 x 27;;literary?/prayer?/hymn?;;
RS;['25.462'];PRAVDA;Literary?;Tablet, Logosyllabic Akkadian;;Tablet;DO 6754;South Acropolis;;Sud Acropole, au NE de la Maison d'Agap- sharri, p.t. 4158 ? 1,30;4158;1,3;RS 25.462;Logosyllabic;Sumerian;71 x 115 x 29;;literary?/divination?/catalogue?;;
RS;['94.2372'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7900;House of Urtenu;;Quartier Sud Centre;;;RS 94.2372;Logosyllabic;Sumerian;47 x 62 x 25;;literary?/catalogue?;;
RS;['20.195F'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1831 ? 0,70;1831;0,7;RS 20.195N;Logosyllabic;Akkadian;38 x 37 x 10;;literary?;;
RS;['25.517'];;;"Tablet, Logosyllabic Akkadian; Sumerian";;Tablet;DO 6762;Lamaštu;;Sud Acropole, Maison aux Textes Magiques, p.t. 5089;;;RS 25.517;Logosyllabic;"Akkadian; Sumerian";29 x 52 x 25;;literary?;;
RS;['28.053C', '28.053C=', '23.[744C]'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;South City;;Ville Sud, «RS 60 Tr. 124, 2178 ? 1,40»;2178;;RS 28.053C;Logosyllabic;Akkadian;62 x 20 x 11;;literary?;;
RS;['1.[066]'];;;Tablet, Alphabetic Hurrian;;Tablet;AO 20.000 A;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[066];Alphabetic;Hurrian;40 x 27 x 10;1.32;ritual;;
RS;['1.[067]'];;;Tablet, Alphabetic Hurrian;;Tablet;AO 20.000 B;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[067];Alphabetic;Hurrian;20 x 15 x 8;1.33;ritual?;;
RS;['34.180,14'];PRAVDA;Literary?, Religious?;Tablet, Logosyllabic Akkadian;;Tablet;M 853;House of Urtenu;;Tas de déblais;;;RS 34.180,14;Logosyllabic;Akkadian;43 x 85 x 42;;literary?;;
RS;['1.[069]'];;;Tablet, Alphabetic Hurrian;;Tablet;AO 17.320 [A];House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[069];Alphabetic;Hurrian;95 x 65 x 23;1.35;religious;;
RS;['1.[070]'];;;Tablet, Alphabetic Hurrian;;Tablet;AO 17.320 [B];House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[070];Alphabetic;Hurrian;35 x 45 x 9;1.36;religious;;
RS;['1.[071]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 17.320 [C];House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[071];Alphabetic;Ugaritic;34 x 30 x 6;1.37;religious;;
RS;['1.[072]'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3437 = A7286;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[072];Alphabetic;Ugaritic;17 x 31 x 6;7.34;;;
RS;['1.[073]'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;M3448 = A7297;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[073];Alphabetic;Ugaritic;19 x 26 x 9;7.37;;;
RS;['1.[074]'];PRAVDA;;Tablet, Alphabetic Hurrian;;Tablet;M3463 = A7312;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[074];Alphabetic;Hurrian;24 x 16 x 7;7.40;religious?;;
RS;['1.[075]'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;AO 19.998 F;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[075];Alphabetic;Ugaritic;27 x 40 x 6;7.33;;;
RS;['1.[077]', '1.076', '1-11.[047]', '1-11.[048]'];;;Tablet, Alphabetic Hurrian;;Tablet;AO 25.164, AO 25.166, AO 25.167;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1-11.[048];Alphabetic;Hurrian;30 x 30 x 12, 25 x 25 x 22, 25 x 30 x 15, 20 x 25 x 11;1.26;list (gods)?/list (sacrifices)?;;
RS;['1.[078]'];PRAVDA;;Tablet, Alphabetic Hurrian;;Tablet;AO 25.168;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[078];Alphabetic;Hurrian;25 x 35 x 12;7.24;religious?;;
RS;['1.[079]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.001 [B];House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[079];Alphabetic;Ugaritic;50 x 35 x 14;4.10;;;
RS;['1.[080]'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.001 [E];House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[080];Alphabetic;Ugaritic;20 x 58 x 19;7.35;;;
RS;['1.[081]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.001 [F];House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[081];Alphabetic;Ugaritic;52 x 25 x 16;2.92;;;
RS;['1.[082]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.001 [G];House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[082];Alphabetic;Ugaritic;34 x 27 x 9;7.39;;;
RS;['1.[083]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 20.002 [A];House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[083];Alphabetic;Ugaritic;19 x 44 x 10;7.38;;;
RS;['1.[084]', '1.[087]'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;M3456 = A7305, M3454 = A7303;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[084]+;Alphabetic;Ugaritic;19 x 20 x 13, 21 x 25 x 6;7.1;;;
RS;['1.[085]'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3455 = A7304;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[085];Alphabetic;Ugaritic;17 x 17 x 5;7.9;;;
RS;['1.[086]'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3461 = A7310;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[086];Alphabetic;Ugaritic;16 x 20 x 6;7.6;;;
RS;['1.[088]'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;M3450 = A7299;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.[088];Alphabetic;Ugaritic;31 x 18 x 5;7.10;;;
RS;['1.[090]'];;;Statue, Hieroglyphic Egyptian;;Statue;Louvre AE 86865+;Temple of Baal;;Acropole, Temple de Baal;;;RS 1.[090];Hieroglyphic;Egyptian;uncertain;;;;
RS;['1.[091]'];;;Table, Hieroglyphic Egyptian;;Furniture;;Temple of Baal;;Acropole, Temple de Baal;;;RS 1.[091];Hieroglyphic;Egyptian;(?);;;;
RS;['1.001'];;;Tablet, Alphabetic Ugaritic;;Tablet;M8214 = A2714 (AO 12.015);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.001;Alphabetic;Ugaritic;110 x 140 x 35;1.39;list (sacrifices);;
RS;['1.002', '1.002[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 11.993;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.002;Alphabetic;Ugaritic;162 x 155 x 40, 18 x 19 x 2;1.40;ritual;;
RS;['1.003', '2.[005]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 11.996;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.003+;Alphabetic;Ugaritic;200 x 161 x 32;1.41;list (sacrifices);;
RS;['1.004'];;;Tablet, Alphabetic Hurrian;;Tablet;M8216 = A2743 (AO 12.039);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.004;Alphabetic;Hurrian;130 x 101 x 36;1.42;ritual;;
RS;['1.005'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 11.995;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.005;Alphabetic;Ugaritic;155 x 105 x 28;1.43;ritual/list (sacrifices)/list (gifts);;
RS;['5.156', '5.214', '5.211'];PRAVDA;;Tablet, Alphabetic Akkadian;;Tablet;M3345 = A2727 (AO 17.292);Acropolis;;Acropole «Tr. T IV p.t. 67 ? 0,95» (= p.t. 480);67;0,95;RS 5.156+;Alphabetic;Akkadian;140 x 100 x 28;1.70;incantaion;;
RS;['1.007'];;;Tablet, Alphabetic Hurrian;;Tablet;AO 12.016;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.007;Alphabetic;Hurrian;82 x 57 x 24;1.44;hymn;;
RS;['1.009[A]'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.038;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.009 [A];Alphabetic;Ugaritic;74 x 61 x 28;7.41;;;
RS;['1.009[B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.038;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.009 [B];Alphabetic;Ugaritic;36 x 22 x 12;;;;
RS;['1.009[C]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.038;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.009 [C];Alphabetic;Ugaritic;29 x 19 x 19;;;;
RS;['1.009[D]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.038;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.009 [D];Alphabetic;Ugaritic;18 x 15 x 17;;;;
RS;['1.009[E]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.038;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.009 [E];Alphabetic;Ugaritic;12 x 16 x 18;;;;
RS;['1.009[F]'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.038;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.009 [F];Alphabetic;Ugaritic;12 x 12 x 13;;;;
RS;['80.383'];PRAVDA;Literary?;Tablet, Logosyllabic Akkadian;;Tablet;;City Centre;;Centre Ville, Maison A, fosse 1076, A2/c1;;;RS 80.383;Logosyllabic;Akkadian;50 x 51 x 25;;literary?;;
RS;['1.009'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.038;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.009;Alphabetic;Ugaritic;132 x 163 x 27;1.46;ritual/list (sacrifices);;
RS;['1.010'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;M3322 = A2742 (AO 11.997);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.010;Alphabetic;Ugaritic;95 x 70 x 29;4.12;;;
RS;['1.011[B]', '1.011', '1.011[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3356 = A2745 (AO 12.033);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.011;Alphabetic;Ugaritic;107 x 49 x 23, 9 x 16 x 7, 29 x 22 x 10;4.13;;;
RS;['1.012'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.004;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.012;Alphabetic;Ugaritic;107 x 95 x 29;4.14;;;
RS;['1.013', '1.043'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;M3357 = A2746 (AO 12.008 + 12.024);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.013+;Alphabetic;Ugaritic;72 x 67 x 21;2.3;;;
RS;['1.014'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;AO 12.002;House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.014;Alphabetic;Ugaritic;77 x 52 x 23;4.15;;;
RS;['1.015'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;M3333 = A2712 (AO 12.017);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.015;Alphabetic;Ugaritic;48 x 56 x 13;4.16;;;
RS;['1.016'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3407 = A2778 (AO 12.012);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.016;Alphabetic;Ugaritic;42 x 31 x 15;5.1;;;
RS;['1.017'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3334 = A2713 (AO 12.003);House of the High Priest;;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;;RS 1.017;Alphabetic;Ugaritic;96 x 71 x 21;1.47;list (gods);;
